Frequency (Hz)	Level (dB)
390.289307	-70.748985
391.635132	-70.840637
392.980957	-71.122566
394.326782	-71.178680
395.672607	-71.351425
397.018433	-71.452042
398.364258	-71.552109
399.710083	-71.492401
401.055908	-71.459595
402.401733	-71.478592
403.747559	-71.358994
405.093384	-71.155067
406.439209	-71.067558
407.785034	-70.861084
409.130859	-70.590736
410.476685	-70.349274
411.822510	-70.120857
413.168335	-69.915146
414.514160	-69.714844
415.859985	-69.417755
417.205811	-69.216042
418.551636	-68.965942
419.897461	-68.738892
421.243286	-68.617088
422.589111	-68.475830
423.934937	-68.300652
425.280762	-68.154526
426.626587	-68.026062
427.972412	-67.938400
429.318237	-67.868416
430.664062	-67.785141
432.009888	-67.728142
433.355713	-67.685020
434.701538	-67.629646
436.047363	-67.633026
437.393188	-67.683044
438.739014	-67.712097
440.084839	-67.814209
441.430664	-67.924339
442.776489	-67.949928
444.122314	-68.056969
445.468140	-68.182167
446.813965	-68.269569
448.159790	-68.358498
449.505615	-68.421097
450.851440	-68.563026
452.197266	-68.685623
453.543091	-68.840424
454.888916	-68.899361
456.234741	-68.987045
457.580566	-68.940582
458.926392	-68.925102
460.272217	-68.797325
461.618042	-68.655777
462.963867	-68.562027
464.309692	-68.313324
465.655518	-68.098473
467.001343	-67.845703
468.347168	-67.544487
469.692993	-67.162994
471.038818	-66.827583
472.384644	-66.520630
473.730469	-66.114609
475.076294	-65.729622
476.422119	-65.342606
477.767944	-64.959259
479.113770	-64.635307
480.459595	-64.265984
481.805420	-63.903858
483.151245	-63.588402
484.497070	-63.276352
485.842896	-62.958363
487.188721	-62.659966
488.534546	-62.386696
489.880371	-62.137142
491.226196	-61.883850
492.572021	-61.640976
493.917847	-61.440098
495.263672	-61.245567
496.609497	-61.041252
497.955322	-60.831680
499.301147	-60.586979
500.646973	-60.454605
501.992798	-60.376640
503.338623	-60.234646
504.684448	-60.094234
506.030273	-59.996613
507.376099	-59.892014
508.721924	-59.725422
510.067749	-59.569859
511.413574	-59.490318
512.759399	-59.402393
514.105225	-59.208374
515.451050	-59.030121
516.796875	-58.838806
518.142700	-58.662533
519.488525	-58.373959
520.834351	-58.083961
522.180176	-57.792652
523.526001	-57.472725
524.871826	-57.109360
526.217651	-56.733349
527.563477	-56.377838
528.909302	-56.075298
530.255127	-55.795937
531.600952	-55.560913
532.946777	-55.391266
534.292603	-55.317253
535.638428	-55.254894
536.984253	-55.213745
538.330078	-55.256557
539.675903	-55.355125
541.021729	-55.486443
542.367554	-55.657509
543.713379	-55.858063
545.059204	-56.088951
546.405029	-56.343380
547.750854	-56.588993
549.096680	-56.873798
550.442505	-57.159481
551.788330	-57.441925
553.134155	-57.763420
554.479980	-58.105022
555.825806	-58.441856
557.171631	-58.771561
558.517456	-59.067337
559.863281	-59.455585
561.209106	-59.912685
562.554932	-60.318623
563.900757	-60.744537
565.246582	-61.142265
566.592407	-61.519428
567.938232	-61.953018
569.284058	-62.390045
570.629883	-62.827202
571.975708	-63.193726
573.321533	-63.632748
574.667358	-64.035805
576.013184	-64.384926
577.359009	-64.789070
578.704834	-65.114197
580.050659	-65.416481
581.396484	-65.662018
582.742310	-65.903999
584.088135	-66.076126
585.433960	-66.209206
586.779785	-66.263466
588.125610	-66.309235
589.471436	-66.359436
590.817261	-66.299896
592.163086	-66.296753
593.508911	-66.199280
594.854736	-66.097107
596.200562	-65.995132
597.546387	-65.945938
598.892212	-65.799171
600.238037	-65.738708
601.583862	-65.669655
602.929688	-65.604370
604.275513	-65.525414
605.621338	-65.435310
606.967163	-65.434769
608.312988	-65.461731
609.658813	-65.485863
611.004639	-65.511024
612.350464	-65.554810
613.696289	-65.603378
615.042114	-65.655205
616.387939	-65.750389
617.733765	-65.869545
619.079590	-65.981758
620.425415	-66.132408
621.771240	-66.310539
623.117065	-66.482399
624.462891	-66.683975
625.808716	-66.920052
627.154541	-67.145592
628.500366	-67.347366
629.846191	-67.555695
631.192017	-67.802246
632.537842	-68.107224
633.883667	-68.345589
635.229492	-68.613144
636.575317	-68.828117
637.921143	-69.073418
639.266968	-69.259460
640.612793	-69.487968
641.958618	-69.616608
643.304443	-69.684792
644.650269	-69.824394
