Frequency (Hz)	Level (dB)
2583.984375	-26.830442
2594.750977	-26.830441
2605.517578	-26.830441
2616.284180	-26.830441
2627.050781	-26.830442
2637.817383	-26.830442
2648.583984	-26.830441
2659.350586	-26.830441
2670.117188	-26.830442
2680.883789	-26.830442
2691.650391	-26.830441
2702.416992	-26.830441
2713.183594	-26.830442
2723.950195	-26.830442
2734.716797	-26.830442
2745.483398	-26.830441
2756.250000	-26.830441
2767.016602	-26.830441
2777.783203	-26.830441
2788.549805	-26.830442
2799.316406	-26.830441
2810.083008	-26.830441
2820.849609	-26.830441
2831.616211	-26.830441
2842.382812	-26.830442
2853.149414	-26.830441
2863.916016	-26.830442
2874.682617	-26.830441
2885.449219	-26.830442
2896.215820	-26.830442
2906.982422	-26.830441
2917.749023	-26.830441
2928.515625	-26.830441
2939.282227	-26.830441
2950.048828	-26.830442
2960.815430	-26.830441
2971.582031	-26.830441
2982.348633	-26.830441
2993.115234	-26.830441
3003.881836	-26.830442
3014.648438	-26.830442
3025.415039	-26.830442
3036.181641	-26.830441
3046.948242	-26.830442
3057.714844	-26.830442
3068.481445	-26.830442
3079.248047	-26.830441
3090.014648	-26.830442
3100.781250	-26.830441
3111.547852	-26.830441
3122.314453	-26.830442
3133.081055	-26.830442
3143.847656	-26.830442
3154.614258	-26.830442
3165.380859	-26.830441
3176.147461	-26.830441
3186.914062	-26.830442
3197.680664	-26.830441
3208.447266	-26.830442
3219.213867	-26.830441
3229.980469	-26.830441
3240.747070	-26.830442
3251.513672	-26.830441
3262.280273	-26.830441
3273.046875	-26.830442
3283.813477	-26.830441
3294.580078	-26.830442
3305.346680	-26.830442
3316.113281	-26.830441
3326.879883	-26.830441
3337.646484	-26.830441
3348.413086	-26.830442
3359.179688	-26.830441
3369.946289	-26.830441
3380.712891	-26.830441
3391.479492	-26.830441
3402.246094	-26.830442
3413.012695	-26.830441
3423.779297	-26.830442
3434.545898	-26.830441
3445.312500	-26.830442
3456.079102	-26.830441
3466.845703	-26.830441
3477.612305	-26.830442
3488.378906	-26.830441
3499.145508	-26.830441
3509.912109	-26.830441
3520.678711	-26.830442
3531.445312	-26.830442
3542.211914	-26.830442
3552.978516	-26.830441
3563.745117	-26.830442
3574.511719	-26.830441
3585.278320	-26.830442
3596.044922	-26.830442
3606.811523	-26.830441
3617.578125	-26.830441
3628.344727	-26.830442
3639.111328	-26.830441
3649.877930	-26.830442
3660.644531	-26.830441
3671.411133	-26.830442
3682.177734	-26.830442
3692.944336	-26.830441
3703.710938	-26.830442
3714.477539	-26.830442
3725.244141	-26.830441
3736.010742	-26.830441
3746.777344	-26.830441
3757.543945	-26.830441
3768.310547	-26.830441
3779.077148	-26.830442
3789.843750	-26.830441
3800.610352	-26.830442
3811.376953	-26.830441
3822.143555	-26.830442
3832.910156	-26.830442
3843.676758	-26.830442
3854.443359	-26.830441
3865.209961	-26.830441
3875.976562	-26.830441
3886.743164	-26.830442
3897.509766	-26.830441
3908.276367	-26.830442
3919.042969	-26.830441
3929.809570	-26.830442
3940.576172	-26.830441
3951.342773	-26.830442
3962.109375	-26.830441
3972.875977	-26.830442
3983.642578	-26.830442
3994.409180	-26.830441
4005.175781	-26.830442
4015.942383	-26.830442
4026.708984	-26.830441
4037.475586	-26.830441
4048.242188	-26.830441
4059.008789	-26.830442
4069.775391	-26.830442
4080.541992	-26.830441
4091.308594	-26.830442
4102.075195	-26.830442
4112.841797	-26.830442
4123.608398	-26.830442
4134.375000	-26.830441
4145.141602	-26.830442
4155.908203	-26.830441
4166.674805	-26.830442
4177.441406	-26.830441
4188.208008	-26.830441
4198.974609	-26.830441
4209.741211	-26.830442
4220.507812	-26.830442
4231.274414	-26.830442
4242.041016	-26.830441
4252.807617	-26.830441
4263.574219	-26.830442
4274.340820	-26.830442
4285.107422	-26.830442
4295.874023	-26.830442
4306.640625	-26.830442
4317.407227	-26.830442
4328.173828	-26.830441
4338.940430	-26.830441
4349.707031	-26.830442
4360.473633	-26.830442
4371.240234	-26.830441
4382.006836	-26.830441
4392.773438	-26.830441
4403.540039	-26.830442
4414.306641	-26.830442
4425.073242	-26.830442
4435.839844	-26.830441
4446.606445	-26.830441
4457.373047	-26.830441
4468.139648	-26.830442
4478.906250	-26.830442
4489.672852	-26.830442
4500.439453	-26.830442
4511.206055	-26.830442
4521.972656	-26.830442
4532.739258	-26.830441
4543.505859	-26.830442
4554.272461	-26.830442
4565.039062	-26.830441
4575.805664	-26.830442
4586.572266	-26.830441
4597.338867	-26.830441
4608.105469	-26.830441
4618.872070	-26.830441
4629.638672	-26.830442
4640.405273	-26.830441
4651.171875	-26.830441
4661.938477	-26.830441
4672.705078	-26.830442
4683.471680	-26.830442
4694.238281	-26.830442
4705.004883	-26.830442
4715.771484	-26.830441
4726.538086	-26.830442
4737.304688	-26.830442
4748.071289	-26.830442
4758.837891	-26.830441
4769.604492	-26.830441
4780.371094	-26.830441
4791.137695	-26.830441
4801.904297	-26.830442
4812.670898	-26.830441
4823.437500	-26.830441
4834.204102	-26.830442
4844.970703	-26.830441
4855.737305	-26.830441
4866.503906	-26.830441
4877.270508	-26.830441
4888.037109	-26.830442
4898.803711	-26.830442
4909.570312	-26.830442
4920.336914	-26.830444
4931.103516	-26.830446
4941.870117	-26.830456
4952.636719	-26.830502
4963.403320	-26.830921
4974.169922	-26.842777
