Frequency (Hz)	Level (dB)
390.289307	-70.845924
391.635132	-70.937820
392.980957	-71.099426
394.326782	-71.376282
395.672607	-71.642838
397.018433	-71.730927
398.364258	-71.884422
399.710083	-71.961327
401.055908	-71.971962
402.401733	-71.953842
403.747559	-71.772041
405.093384	-71.684464
406.439209	-71.664711
407.785034	-71.471107
409.130859	-71.243401
410.476685	-71.075615
411.822510	-70.875206
413.168335	-70.690613
414.514160	-70.525032
415.859985	-70.345207
417.205811	-70.111305
418.551636	-69.901070
419.897461	-69.730919
421.243286	-69.620728
422.589111	-69.503876
423.934937	-69.413750
425.280762	-69.330414
426.626587	-69.262108
427.972412	-69.186005
429.318237	-69.094963
430.664062	-69.041634
432.009888	-69.044449
433.355713	-69.075996
434.701538	-69.104195
436.047363	-69.178024
437.393188	-69.280884
438.739014	-69.376343
440.084839	-69.478043
441.430664	-69.542191
442.776489	-69.674065
444.122314	-69.871964
445.468140	-70.047935
446.813965	-70.257286
448.159790	-70.491592
449.505615	-70.646492
450.851440	-70.722244
452.197266	-70.889259
453.543091	-71.073372
454.888916	-71.287735
456.234741	-71.384674
457.580566	-71.378494
458.926392	-71.396652
460.272217	-71.468086
461.618042	-71.411194
462.963867	-71.356110
464.309692	-71.198761
465.655518	-71.076355
467.001343	-70.905563
468.347168	-70.664864
469.692993	-70.449844
471.038818	-70.132416
472.384644	-69.856026
473.730469	-69.615448
475.076294	-69.355080
476.422119	-69.095337
477.767944	-68.791679
479.113770	-68.523315
480.459595	-68.279839
481.805420	-68.032349
483.151245	-67.779076
484.497070	-67.581367
485.842896	-67.425285
487.188721	-67.280502
488.534546	-67.084183
489.880371	-66.915108
491.226196	-66.800743
492.572021	-66.697266
493.917847	-66.591858
495.263672	-66.496880
496.609497	-66.464020
497.955322	-66.465126
499.301147	-66.453056
500.646973	-66.428925
501.992798	-66.400642
503.338623	-66.435020
504.684448	-66.494705
506.030273	-66.567673
507.376099	-66.613968
508.721924	-66.678215
510.067749	-66.729622
511.413574	-66.813377
512.759399	-66.816154
514.105225	-66.843102
515.451050	-66.875977
516.796875	-66.895134
518.142700	-66.873962
519.488525	-66.814812
520.834351	-66.723717
522.180176	-66.587990
523.526001	-66.275818
524.871826	-65.998779
526.217651	-65.770645
527.563477	-65.462555
528.909302	-65.080956
530.255127	-64.666405
531.600952	-64.265755
532.946777	-63.804440
534.292603	-63.403454
535.638428	-62.917732
536.984253	-62.420147
538.330078	-61.915123
539.675903	-61.453342
541.021729	-61.015812
542.367554	-60.560131
543.713379	-60.100636
545.059204	-59.622482
546.405029	-59.200581
547.750854	-58.833675
549.096680	-58.432091
550.442505	-58.011650
551.788330	-57.628139
553.134155	-57.266621
554.479980	-56.905567
555.825806	-56.557903
557.171631	-56.241638
558.517456	-55.967072
559.863281	-55.694874
561.209106	-55.415455
562.554932	-55.189114
563.900757	-54.974766
565.246582	-54.808937
566.592407	-54.740936
567.938232	-54.673969
569.284058	-54.686859
570.629883	-54.731728
571.975708	-54.828957
573.321533	-54.993767
574.667358	-55.226746
576.013184	-55.483448
577.359009	-55.767868
578.704834	-56.094772
580.050659	-56.429672
581.396484	-56.776131
