Frequency (Hz)	Level (dB)
2939.282227	-25.129065
2950.048828	-25.393095
2960.815430	-27.218391
2971.582031	-29.521311
2982.348633	-31.516111
2993.115234	-33.075970
3003.881836	-34.267746
3014.648438	-35.161041
3025.415039	-35.804661
3036.181641	-36.230846
3046.948242	-36.460777
3057.714844	-36.503403
3068.481445	-36.363705
3079.248047	-36.036518
3090.014648	-35.510368
3100.781250	-34.762447
3111.547852	-33.761223
3122.314453	-32.456112
3133.081055	-30.782259
3143.847656	-28.690611
3154.614258	-26.413679
3165.380859	-24.889238
3176.147461	-24.937290
3186.914062	-26.476377
3197.680664	-28.709021
3208.447266	-30.774614
3219.213867	-32.419655
3229.980469	-33.693558
3240.747070	-34.662674
3251.513672	-35.377560
3262.280273	-35.871311
3273.046875	-36.165237
3283.813477	-36.271416
3294.580078	-36.193840
3305.346680	-35.930256
3316.113281	-35.468666
3326.879883	-34.788990
3337.646484	-33.857555
3348.413086	-32.626354
3359.179688	-31.030188
3369.946289	-29.019291
3380.712891	-26.769880
3391.479492	-25.142290
3402.246094	-25.085537
3413.012695	-26.628269
3423.779297	-28.900358
3434.545898	-31.012218
3445.312500	-32.705544
3456.079102	-34.020050
3466.845703	-35.020252
3477.612305	-35.760395
3488.378906	-36.277916
3499.145508	-36.596081
3509.912109	-36.726574
3520.678711	-36.673813
3531.445312	-36.432129
3542.211914	-35.990513
3552.978516	-35.328281
3563.745117	-34.412495
3574.511719	-33.193764
3585.278320	-31.608273
3596.044922	-29.609844
3606.811523	-27.361185
3617.578125	-25.656462
3628.344727	-25.551683
3639.111328	-27.131546
3649.877930	-29.414188
3660.644531	-31.515823
3671.411133	-33.207664
3682.177734	-34.523003
3692.944336	-35.528507
3703.710938	-36.274529
3714.477539	-36.793644
3725.244141	-37.107628
3736.010742	-37.229752
3746.777344	-37.164055
3757.543945	-36.907314
3768.310547	-36.449661
3779.077148	-35.772392
3789.843750	-34.841129
3800.610352	-33.607822
3811.376953	-32.010338
3822.143555	-30.019547
3832.910156	-27.825792
3843.676758	-26.226992
3854.443359	-26.217075
3865.209961	-27.813862
3875.976562	-30.038330
3886.743164	-32.074451
3897.509766	-33.716850
3908.276367	-34.994144
3919.042969	-35.969418
3929.809570	-36.687183
3940.576172	-37.181610
3951.342773	-37.474052
3962.109375	-37.575047
3972.875977	-37.488350
3983.642578	-37.210651
3994.409180	-36.731720
4005.175781	-36.032093
4015.942383	-35.079666
4026.708984	-33.834274
4037.475586	-32.250683
4048.242188	-30.329182
4059.008789	-28.318787
4069.775391	-26.973656
4080.541992	-27.089434
4091.308594	-28.596926
4102.075195	-30.644426
4112.841797	-32.543846
4123.608398	-34.097610
4134.375000	-35.318455
4145.141602	-36.254097
4155.908203	-36.947117
4166.674805	-37.426689
4177.441406	-37.708370
4188.208008	-37.806221
4198.974609	-37.723839
4209.741211	-37.456211
4220.507812	-36.989914
4231.274414	-36.308098
4242.041016	-35.384033
4252.807617	-34.181492
4263.574219	-32.666241
4274.340820	-30.882828
4285.107422	-29.145676
4295.874023	-28.163773
4306.640625	-28.540089
4317.407227	-30.083414
4328.173828	-32.040653
4338.940430	-33.855442
4349.707031	-35.366631
4360.473633	-36.581131
4371.240234	-37.532455
4382.006836	-38.257675
4392.773438	-38.778408
4403.540039	-39.114754
4414.306641	-39.276176
4425.073242	-39.262943
4435.839844	-39.073486
4446.606445	-38.697044
4457.373047	-38.119797
4468.139648	-37.313923
4478.906250	-36.260265
4489.672852	-34.961830
4500.439453	-33.503082
4511.206055	-32.216702
4521.972656	-31.678602
4532.739258	-32.277199
4543.505859	-33.794540
4554.272461	-35.648682
4565.039062	-37.416878
4575.805664	-38.950203
